"N5552","05-06-2020 11:52:01","1800","8","512","7GXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B775","C858C0B10490"
"N5553","05-06-2020 10:56:12","1800","8","512","8GXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BA71","C858C0B103DC"
"N5554","05-06-2020 14:07:20","1800","8","512","9GXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7B5","C858C0A942D7"
"N5556","05-06-2020 14:07:46","1800","8","512","BGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7C1","C858C0A990ED"
"N5557","05-06-2020 14:08:23","1800","8","512","CGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BC93","C858C0A942EB"
"N5558","05-06-2020 14:08:49","1800","8","512","DGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7BB","C858C0A9434F"
"N5559","05-06-2020 16:10:25","1800","8","512","FGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7B7","C858C0A92E00"
"N5560","05-06-2020 15:00:48","1800","8","512","GGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7CB","C858C0A943D6"
"N5561","05-06-2020 15:19:12","1800","8","512","HGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BA5B","C858C0B1039B"
"N5562","05-06-2020 15:19:35","1800","8","512","JGXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B75D","C858C0A942A0"
"N5563","05-06-2020 14:57:02","1800","8","512","BFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B78B","C858C0B0F75C"
"N5564","05-06-2020 14:57:46","1800","8","512","CFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7D9","C858C0B0F6AD"
"N5565","05-06-2020 15:44:53","1800","8","512","DFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B213","C858C0B0F644"
"N5566","05-06-2020 14:57:21","1800","8","512","FFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B41B","C858C0B1038C"
"N5567","05-06-2020 15:23:58","1800","8","512","GFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B75B","C858C0B10472"
"N5568","02-06-2020 17:50:19","1800","8","512","HFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BE7D","C858C0B0F653"
"N5569","05-06-2020 15:20:14","1800","8","512","JFXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B41F","C858C0B0F6C6"
"N5570","02-06-2020 17:33:33","1800","8","528","1FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BAF1","C858C0B103FA"
"N5571","02-06-2020 17:33:53","1800","8","528","2FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B7B3","C858C0B0F66C"
"N5572","02-06-2020 13:13:39","1800","8","512","3FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BA55","C858C0B103E1"
"N5573","05-06-2020 18:03:10","1800","8","512","4FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BA57","C858C0B10486"
"N5574","05-06-2020 15:45:16","1800","8","512","5FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BB45","C858C0B0F667"
"N5575","05-06-2020 15:46:04","1800","8","512","6FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B421","C858C0B1048B"
"N5576","02-06-2020 17:33:01","1800","8","512","7FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BE53","C858C0B10369"
"N5577","05-06-2020 15:46:33","1800","8","512","8FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B759","C858C0B1037D"
"N5578","04-06-2020 18:24:24","1800","8","512","9FXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B399","C858C0B0F65D"
"N5579","04-06-2020 18:19:07","1800","8","512","1HXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B77F","C858C0B103B4"
"N5580","04-06-2020 17:41:12","1800","8","512","BDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BAEF","C858C0B1340B"
